City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,ketchikan,55.3422,-131.6461,277.78,93,75,3.09,US,1704057387
228,ma'rib,15.4591,45.3253,292.97,33,2,1.83,YE,1704057399
229,nova sintra,14.8667,-24.7167,295.89,66,10,3.27,CV,1704057399
230,huarmey,-10.0681,-78.1522,297.79,75,27,5.49,PE,1704057400
231,minas de marcona,-15.2119,-75.1103,294.22,64,44,7.4,PE,1704057400
232,apatity,67.5641,33.4031,253.52,100,90,1.38,RU,1704057400
233,beyneu,45.3167,55.2,277.22,65,100,4.51,KZ,1704057400
234,tabas,33.5959,56.9244,281.27,46,2,2.06,IR,1704057400
235,richards bay,-28.783,32.0377,296.35,92,44,3.46,ZA,1704057400
236,merizo village,13.2658,144.6691,301.0,93,100,8.44,GU,1704057401
237,kovdor,67.5662,30.4758,248.73,100,97,0.74,RU,1704057401
238,acarau,-2.8856,-40.12,301.01,76,94,4.26,BR,1704057401
239,hasaki,35.7333,140.8333,279.37,61,83,11.72,JP,1704057401
240,masindi,1.6744,31.715,294.6,75,100,2.01,UG,1704057401
241,la ronge,55.1001,-105.2842,272.29,59,75,3.6,CA,1704057402
242,wuwei,37.9281,102.6414,270.18,49,100,1.35,CN,1704057402
243,makurazaki,31.2667,130.3167,283.82,66,11,5.31,JP,1704057402
244,yung shue wan,22.2333,114.1167,293.01,75,63,0.45,HK,1704057402
245,an nuhud,12.7,28.4333,291.17,26,2,5.39,SD,1704057402
246,la passe,45.5549,-0.8967,282.28,74,41,6.56,FR,1704057374
247,maile,-38.9466,-72.3727,296.49,33,0,3.8,CL,1704057403
248,selfoss,63.9331,-20.9971,265.95,74,100,5.18,IS,1704057403
249,tateyama,34.9833,139.8667,284.32,51,69,14.31,JP,1704057403
250,fale old settlement,-9.3852,-171.2468,301.69,77,100,3.65,TK,1704057403
251,qamdo,31.1667,97.2333,262.72,45,29,0.87,CN,1704057403
252,dobre miasto,53.9867,20.3975,274.14,92,100,4.61,PL,1704057403
253,holualoa,19.6228,-155.9522,299.01,68,20,3.09,US,1704057404
254,khorixas,-20.3667,14.9667,295.12,35,5,4.44,NA,1704057404
255,quelimane,-17.8786,36.8883,297.28,95,100,2.0,MZ,1704057305
256,ghat,24.9647,10.1728,289.3,20,0,1.12,LY,1704057404
257,xinmin,41.9908,122.8253,256.11,94,100,1.68,CN,1704057404
258,paradip garh,20.3167,86.6167,292.6,62,1,2.15,IN,1704057404
259,tindouf,27.6711,-8.1474,289.4,23,0,2.57,DZ,1704057404
260,praia da vitoria,38.7333,-27.0667,289.68,88,20,3.54,PT,1704057405
261,taoudenni,22.6783,-3.9836,293.11,16,0,4.43,ML,1704057313
262,sohag,26.557,31.6948,288.27,58,0,3.16,EG,1704057405
263,shasta lake,40.6804,-122.3708,287.0,78,100,0.56,US,1704057405
264,oroqen zizhiqi,50.5667,123.7167,257.33,95,100,1.19,CN,1704057405
265,ancud,-41.8697,-73.8203,288.7,78,100,4.73,CL,1704057405
266,castillos,-34.1667,-53.8333,293.09,49,49,3.88,UY,1704057406
267,cockburn town,21.4612,-71.1419,298.52,66,82,6.57,TC,1704057406
268,cabo san lucas,22.8909,-109.9124,299.76,66,75,3.09,MX,1704057322
269,yulinshi,38.2906,109.7494,263.1,86,37,0.65,CN,1704057406
270,salalah,17.0151,54.0924,296.2,78,20,2.06,OM,1704057406
271,lihue,21.9789,-159.3672,299.73,62,0,3.6,US,1704057406
272,kapa'a,22.0752,-159.319,300.14,70,0,3.6,US,1704057406
273,koping,59.514,15.9926,269.92,90,100,3.65,SE,1704057407
274,crane,31.3974,-102.3501,291.28,14,0,3.67,US,1704057407
275,sault ste. marie,46.5168,-84.3333,269.46,68,100,2.57,CA,1704057379
276,port alfred,-33.5906,26.891,291.58,97,100,2.91,ZA,1704057407
277,leh,34.1667,77.5833,266.88,54,23,0.91,IN,1704057407
278,dauphin,51.1494,-100.0502,267.23,68,0,1.03,CA,1704057157
279,pontes e lacerda,-15.2261,-59.3353,302.78,57,97,0.62,BR,1704057407
280,bowen,-20.0167,148.2333,300.78,75,62,5.81,AU,1704057408
281,albacete,38.8333,-2.0,281.6,76,75,1.54,ES,1704057408
282,anadyr,64.75,177.4833,262.43,62,0,3.0,RU,1704057408
283,gebeit,21.0667,36.3167,289.72,68,0,2.07,SD,1704057408
284,suileng,47.25,127.0833,253.21,90,100,3.46,CN,1704057408
285,buruenesti,45.3167,26.35,279.68,84,8,0.79,RO,1704057409
286,petropavlovsk-kamchatsky,53.0452,158.6483,253.58,72,0,6.26,RU,1704057409
287,aasiaat,68.7098,-52.8699,258.95,65,43,8.55,GL,1704057409
288,machina,13.1364,10.0492,294.01,16,3,4.44,NG,1704057409
289,segezha,63.7415,34.3222,251.72,85,20,3.99,RU,1704057409
290,hanzhong,33.0728,107.0303,282.74,61,100,1.16,CN,1704057409
291,birmitrapur,22.4,84.7667,287.9,73,0,0.85,IN,1704057409
292,jandiala guru,31.5614,75.0267,283.11,50,0,0.74,IN,1704057410
293,gamba,-2.65,10.0,298.93,89,100,3.01,GA,1704057410
294,punta arenas,-53.15,-70.9167,287.21,44,75,7.72,CL,1704057410
295,bardai,11.65,7.2333,293.1,21,6,3.66,NG,1704057410
296,north lakhimpur,27.2333,94.1167,287.46,53,0,1.62,IN,1704057410
297,susuman,62.7833,148.1667,238.14,100,100,0.45,RU,1704057410
298,port hedland,-20.3167,118.5667,300.18,83,9,3.6,AU,1704057411
299,tazacorte,28.629,-17.9293,291.57,63,0,2.57,ES,1704057411
300,tolanaro,-25.0319,46.9987,296.96,96,100,4.81,MG,1704057411
301,troitsko-pechorsk,62.7084,56.1964,240.2,99,52,1.79,RU,1704057411
302,argo,37.6333,22.7333,284.7,80,99,0.91,GR,1704057411
303,igarka,67.4667,86.5833,253.03,98,97,4.03,RU,1704057131
304,ta`u,-14.2336,-169.5144,301.24,80,82,5.07,AS,1704057411
305,carutapera,-1.195,-46.02,300.06,82,100,2.77,BR,1704057412
306,sur,22.5667,59.5289,294.82,64,0,1.55,OM,1704057412
307,sitka,57.0531,-135.33,277.09,70,100,0.0,US,1704057360
308,vorgashor,67.5833,63.95,243.95,98,53,2.13,RU,1704057412
309,new shagunnu,10.3396,4.4688,300.54,33,7,2.96,NG,1704057412
310,mukalla,14.5425,49.1242,296.01,81,24,1.53,YE,1704057412
311,the pas,53.8251,-101.2541,275.16,51,75,5.14,CA,1704057413
312,kidal,18.4411,1.4078,295.29,13,0,4.12,ML,1704057413
313,makaha,21.4694,-158.2175,301.1,53,0,5.14,US,1704057413
314,tabuk,17.4189,121.4443,295.72,95,91,1.36,PH,1704057413
315,saranac lake,44.3295,-74.1313,270.31,89,100,1.54,US,1704057413
316,fortaleza,-3.7227,-38.5247,302.63,80,40,4.12,BR,1704057300
317,uray,60.1247,64.7758,245.86,96,70,1.79,RU,1704057414
